radiant_win,radiant_score,dire_score,first_blood_time,duration,P1_gold_per_min,P1_hero_damage,P1_kda,P1_kills,P1_last_hits,P1_level,P1_xp_per_min,P1_deaths,P2_gold_per_min,P2_hero_damage,P2_kda,P2_kills,P2_last_hits,P2_level,P2_xp_per_min,P2_deaths,P3_gold_per_min,P3_hero_damage,P3_kda,P3_kills,P3_last_hits,P3_level,P3_xp_per_min,P3_deaths,P4_gold_per_min,P4_hero_damage,P4_kda,P4_kills,P4_last_hits,P4_level,P4_xp_per_min,P4_deaths,P5_gold_per_min,P5_hero_damage,P5_kda,P5_kills,P5_last_hits,P5_level,P5_xp_per_min,P5_deaths,P6_gold_per_min,P6_hero_damage,P6_kda,P6_kills,P6_last_hits,P6_level,P6_xp_per_min,P6_deaths,P7_gold_per_min,P7_hero_damage,P7_kda,P7_kills,P7_last_hits,P7_level,P7_xp_per_min,P7_deaths,P8_gold_per_min,P8_hero_damage,P8_kda,P8_kills,P8_last_hits,P8_level,P8_xp_per_min,P8_deaths,P9_gold_per_min,P9_hero_damage,P9_kda,P9_kills,P9_last_hits,P9_level,P9_xp_per_min,P9_deaths,P10_gold_per_min,P10_hero_damage,P10_kda,P10_kills,P10_last_hits,P10_level,P10_xp_per_min,P10_deaths
False,0.0,10.0,149,369,101,0.0,0,0,3,1,24,2,94,0.0,0,0,1,1,24,2,107,0.0,0,0,2,1,24,2,105,0.0,0,0,2,1,24,2,110,0.0,0,0,3,1,24,2,577,397.0,5,2,9,3,132,0,552,164.0,1,1,3,3,132,0,507,574.0,5,0,9,3,132,0,540,226.0,2,0,10,3,129,0,546,637.0,5,2,5,3,100,0
True,6.0,1.0,125,370,457,312.0,2,1,5,2,91,1,496,336.0,5,1,6,3,116,0,489,443.0,4,1,8,3,116,0,539,328.0,3,2,11,3,116,0,462,475.0,3,0,4,3,116,0,163,0.0,0,0,4,2,60,1,154,0.0,0,0,5,3,158,1,158,0.0,0,0,5,2,60,1,124,0.0,0,0,2,2,39,2,137,0.0,0,0,4,2,60,1
True,30.0,5.0,89,684,285,294.0,0,0,9,3,72,2,286,148.0,0,0,9,3,77,3,290,347.0,0,0,8,3,83,2,299,301.0,0,1,8,3,75,2,1352,14363.0,28,28,72,13,744,0,139,0.0,0,0,0,2,35,7,373,2933.0,1,5,17,7,276,2,139,0.0,0,0,0,2,23,7,139,0.0,0,0,0,2,36,7,139,0.0,0,0,0,2,38,7
False,4.0,42.0,34,635,336,4466.0,0,4,24,6,219,4,90,0.0,0,0,0,2,32,9,90,0.0,0,0,0,2,28,9,90,0.0,0,0,0,2,41,10,90,0.0,0,0,0,3,58,10,300,72.0,0,0,9,2,48,1,275,0.0,0,0,2,2,48,1,319,76.0,0,1,10,2,48,1,287,63.0,0,0,3,2,48,2,1651,19582.0,39,39,56,15,998,0
False,2.0,10.0,139,407,107,0.0,0,0,2,1,13,2,118,0.0,0,0,2,1,13,2,108,0.0,0,0,3,1,13,2,98,0.0,0,0,0,1,13,2,98,0.0,0,0,0,1,13,2,548,478.0,5,2,13,3,146,0,558,1063.0,4,4,14,4,174,0,527,829.0,1,2,10,3,135,1,472,206.0,2,1,9,3,146,0,409,308.0,2,0,0,3,135,1
False,2.0,10.0,121,377,98,0.0,0,0,0,1,13,2,112,24.0,0,0,2,1,13,2,104,0.0,0,0,1,1,13,2,114,0.0,0,0,2,1,30,2,98,0.0,0,0,0,1,13,2,465,319.0,1,2,3,3,123,1,477,545.0,6,1,8,3,140,0,421,201.0,1,0,3,3,99,1,541,615.0,4,1,11,3,157,0,548,687.0,7,3,6,3,116,0
False,2.0,27.0,0,373,244,1577.0,0,2,1,3,102,16,167,0.0,0,0,2,2,79,2,132,0.0,0,0,5,2,42,3,121,0.0,0,0,1,2,44,3,120,0.0,0,0,0,2,42,3,616,2566.0,17,4,10,4,219,0,558,2203.0,18,2,6,4,219,0,647,2570.0,8,7,6,4,186,1,590,2290.0,7,4,5,4,198,1,609,2024.0,19,3,5,4,191,0
False,0.0,11.0,126,373,97,0.0,0,0,1,1,19,3,99,0.0,0,0,2,1,12,2,90,0.0,0,0,0,1,19,2,102,0.0,0,0,2,1,18,2,104,144.0,0,0,1,1,19,2,596,995.0,5,4,3,3,97,0,526,92.0,1,0,9,3,140,0,537,919.0,4,2,9,3,122,0,546,264.0,3,0,9,3,115,0,596,157.0,1,0,15,3,122,0
False,,,158,2625,421,10668.0,2,3,222,20,521,7,527,26568.0,2,18,262,22,577,10,366,8848.0,2,3,162,18,394,9,272,2805.0,2,3,56,15,306,5,185,2527.0,1,0,12,12,204,8,452,18794.0,2,10,99,21,543,8,427,18942.0,4,8,88,21,569,6,336,13048.0,4,7,48,14,247,5,372,9621.0,2,6,67,19,449,7,769,12162.0,5,6,472,25,749,2
False,,,204,2220,353,7118.0,2,4,64,15,353,5,296,12669.0,1,3,51,15,358,9,296,5798.0,0,6,32,14,308,11,504,11724.0,1,8,248,19,510,9,365,8707.0,1,4,140,16,393,6,380,11811.0,2,7,47,16,404,9,513,12344.0,3,5,175,18,467,4,416,10767.0,4,4,81,18,509,4,705,15651.0,5,14,253,21,672,3,409,7170.0,2,7,55,15,324,6
